"id","year","month","district","commune","village","gender","age","q022","novelty","experience","tradition","dish_type","yes_no","consumed","age_z","novelty_z","experience_z","tradition_z","q022_raw","q022_known","q022_ord","q022_cat5","q022_unknown","frequency","q022_code"
"2","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",46,"Small decline",-1.8984986505756936,-0.519615163720678,0.7286531044905199,"chopped_fish",1,0,0.0055222025528943175,-1.1714530454146015,-0.38007635527742106,0.6716586128128328,NA,NA,"small decline","small decline",0,NA,2
"2","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",46,"Small decline",-1.8984986505756936,-0.519615163720678,0.7286531044905199,"sliced_fish",1,0,0.0055222025528943175,-1.1714530454146015,-0.38007635527742106,0.6716586128128328,NA,NA,"small decline","small decline",0,NA,2
"2","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",46,"Small decline",-1.8984986505756936,-0.519615163720678,0.7286531044905199,"pufferfish",1,0,0.0055222025528943175,-1.1714530454146015,-0.38007635527742106,0.6716586128128328,NA,NA,"small decline","small decline",0,NA,2
"3","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",-4.642917397859111,-2.2083983382944146,0.6807268241057616,"chopped_fish",1,0,-0.018132605397563242,-2.864874159210596,-1.6153493008353708,0.6274810764760964,NA,NA,"small decline","small decline",0,NA,2
"3","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",-4.642917397859111,-2.2083983382944146,0.6807268241057616,"sliced_fish",1,0,-0.018132605397563242,-2.864874159210596,-1.6153493008353708,0.6274810764760964,NA,NA,"small decline","small decline",0,NA,2
"3","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",-4.642917397859111,-2.2083983382944146,0.6807268241057616,"pufferfish",1,0,-0.018132605397563242,-2.864874159210596,-1.6153493008353708,0.6274810764760964,NA,NA,"small decline","small decline",0,NA,2
"4","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",68,"Small decline",-0.39191679204246527,-1.2094231728372797,-0.06209950260643171,"chopped_fish",1,0,0.5259279774629607,-0.24182904709889988,-0.8846415262953093,-0.05724214378550781,NA,NA,"small decline","small decline",0,NA,2
"4","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",68,"Small decline",-0.39191679204246527,-1.2094231728372797,-0.06209950260643171,"sliced_fish",1,0,0.5259279774629607,-0.24182904709889988,-0.8846415262953093,-0.05724214378550781,NA,NA,"small decline","small decline",0,NA,2
"4","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",68,"Small decline",-0.39191679204246527,-1.2094231728372797,-0.06209950260643171,"pufferfish",1,0,0.5259279774629607,-0.24182904709889988,-0.8846415262953093,-0.05724214378550781,NA,NA,"small decline","small decline",0,NA,2
"5","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",0.20441295220031286,-2.706101813600367,0.5401709033494415,"chopped_fish",1,0,-0.018132605397563242,0.12613133820486655,-1.9793981895334671,0.4979192943660352,NA,NA,"small decline","small decline",0,NA,2
"5","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",0.20441295220031286,-2.706101813600367,0.5401709033494415,"sliced_fish",1,0,-0.018132605397563242,0.12613133820486655,-1.9793981895334671,0.4979192943660352,NA,NA,"small decline","small decline",0,NA,2
"5","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","female",45,"Small decline",0.20441295220031286,-2.706101813600367,0.5401709033494415,"pufferfish",1,0,-0.018132605397563242,0.12613133820486655,-1.9793981895334671,0.4979192943660352,NA,NA,"small decline","small decline",0,NA,2
"7","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",60,"Small increase",-0.6281874688566134,0.1133482691178303,1.8405546309503964,"chopped_fish",1,0,0.3366895138593002,-0.38761793339185197,0.08290942992277174,1.6965883526904848,NA,NA,"small increase","small increase",0,NA,3
"7","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",60,"Small increase",-0.6281874688566134,0.1133482691178303,1.8405546309503964,"sliced_fish",1,0,0.3366895138593002,-0.38761793339185197,0.08290942992277174,1.6965883526904848,NA,NA,"small increase","small increase",0,NA,3
"7","2021","March","Kracheh","Roka Kandal","Roka Kandal Pir","male",60,"Small increase",-0.6281874688566134,0.1133482691178303,1.8405546309503964,"pufferfish",1,0,0.3366895138593002,-0.38761793339185197,0.08290942992277174,1.6965883526904848,NA,NA,"small increase","small increase",0,NA,3
"8","2021","March","Kracheh","Bos Leav","Lvea Tong","female",43,"Large increase",2.2769249877512565,-1.1313497203859926,0.1387629823785217,"chopped_fish",1,0,-0.06544222129847836,1.40495791781205,-0.8275341219633573,0.1279090855164838,NA,NA,"large increase","large increase",0,NA,4
"8","2021","March","Kracheh","Bos Leav","Lvea Tong","female",43,"Large increase",2.2769249877512565,-1.1313497203859926,0.1387629823785217,"sliced_fish",2,1,-0.06544222129847836,1.40495791781205,-0.8275341219633573,0.1279090855164838,NA,NA,"large increase","large increase",0,3,4
"8","2021","March","Kracheh","Bos Leav","Lvea Tong","female",43,"Large increase",2.2769249877512565,-1.1313497203859926,0.1387629823785217,"pufferfish",1,0,-0.06544222129847836,1.40495791781205,-0.8275341219633573,0.1279090855164838,NA,NA,"large increase","large increase",0,NA,4
