"id","price","grams","district","gender","dish_type","month","season","youandme"
"115",2.5,NA,"Kracheh","female","chopped_fish","March","dry","self"
"115",5,NA,"Kracheh","female","chopped_fish","March","dry","others"
"116",2.5,NA,"Kracheh","male","chopped_fish","March","dry","self"
"116",1.5,NA,"Kracheh","male","chopped_fish","March","dry","others"
"116",5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"116",10,NA,"Kracheh","male","sliced_fish","March","dry","others"
"117",20,NA,"Chhloung","male","chopped_fish","March","dry","self"
"117",25,NA,"Chhloung","male","chopped_fish","March","dry","others"
"117",17.5,NA,"Chhloung","male","sliced_fish","March","dry","self"
"117",15,NA,"Chhloung","male","sliced_fish","March","dry","others"
"118",14,NA,"Chhloung","male","chopped_fish","March","dry","self"
"118",35,NA,"Chhloung","male","chopped_fish","March","dry","others"
"118",15,NA,"Chhloung","male","sliced_fish","March","dry","self"
"118",40,NA,"Chhloung","male","sliced_fish","March","dry","others"
"128",2.5,NA,"Chhloung","female","chopped_fish","March","dry","self"
"135",2,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"135",55,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"138",5,NA,"Preaek Prasab",NA,"chopped_fish","March","dry","self"
"138",10,NA,"Preaek Prasab",NA,"chopped_fish","March","dry","others"
"139",5,NA,"Preaek Prasab","female","chopped_fish","March","dry","self"
"139",10,NA,"Preaek Prasab","female","chopped_fish","March","dry","others"
"142",1,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"142",5,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"143",1,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"143",5,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"144",2.5,NA,"Preaek Prasab","female","chopped_fish","March","dry","self"
"144",5,NA,"Preaek Prasab","female","chopped_fish","March","dry","others"
"146",10,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"146",20,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"147",2.5,NA,"Kracheh",NA,"sliced_fish","March","dry","self"
"147",5,NA,"Kracheh",NA,"sliced_fish","March","dry","others"
"147",1.5,NA,"Kracheh",NA,"pufferfish","March","dry","self"
"147",5,NA,"Kracheh",NA,"pufferfish","March","dry","others"
"150",1,NA,"Preaek Prasab","female","chopped_fish","March","dry","self"
"150",3,NA,"Preaek Prasab","female","chopped_fish","March","dry","others"
"150",1,NA,"Preaek Prasab","female","sliced_fish","March","dry","self"
"150",4,NA,"Preaek Prasab","female","sliced_fish","March","dry","others"
"151",5,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"151",15,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"152",10,NA,"Preaek Prasab","male","pufferfish","March","dry","self"
"152",20,NA,"Preaek Prasab","male","pufferfish","March","dry","others"
"153",10,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"153",20,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"153",10,NA,"Preaek Prasab","male","pufferfish","March","dry","self"
"153",20,NA,"Preaek Prasab","male","pufferfish","March","dry","others"
"154",3,NA,"Preaek Prasab","male","sliced_fish","March","dry","self"
"154",5,NA,"Preaek Prasab","male","sliced_fish","March","dry","others"
"155",1,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"155",5,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"155",4,NA,"Preaek Prasab","male","pufferfish","March","dry","self"
"155",10,NA,"Preaek Prasab","male","pufferfish","March","dry","others"
"156",10,NA,"Kracheh","male","chopped_fish","March","dry","self"
"156",38,NA,"Kracheh","male","chopped_fish","March","dry","others"
"158",2.5,NA,"Preaek Prasab","male","chopped_fish","March","dry","self"
"158",5,NA,"Preaek Prasab","male","chopped_fish","March","dry","others"
"158",5,NA,"Preaek Prasab","male","sliced_fish","March","dry","self"
"158",10,NA,"Preaek Prasab","male","sliced_fish","March","dry","others"
"160",1,NA,"Preaek Prasab","female","chopped_fish","March","dry","self"
"160",2,NA,"Preaek Prasab","female","chopped_fish","March","dry","others"
"169",2.5,NA,"Sambour","male","chopped_fish","March","dry","self"
"169",5,NA,"Sambour","male","chopped_fish","March","dry","others"
"170",3,NA,"Sambour",NA,"chopped_fish","March","dry","self"
"170",5,NA,"Sambour",NA,"chopped_fish","March","dry","others"
"170",10,NA,"Sambour",NA,"pufferfish","March","dry","self"
"170",20,NA,"Sambour",NA,"pufferfish","March","dry","others"
"171",2.5,NA,"Sambour","female","chopped_fish","March","dry","self"
"172",5,NA,"Sambour","female","chopped_fish","March","dry","self"
"173",1,NA,"Sambour","male","chopped_fish","March","dry","self"
"175",4,NA,"Sambour",NA,"chopped_fish","March","dry","self"
"175",8,NA,"Sambour",NA,"chopped_fish","March","dry","others"
"176",3,NA,"Sambour","female","pufferfish","March","dry","self"
"176",8,NA,"Sambour","female","pufferfish","March","dry","others"
"178",2.5,NA,"Sambour","female","chopped_fish","March","dry","self"
"178",10,NA,"Sambour","female","chopped_fish","March","dry","others"
"179",10,NA,"Sambour","male","chopped_fish","March","dry","self"
"179",20,NA,"Sambour","male","chopped_fish","March","dry","others"
"179",1,NA,"Sambour","male","pufferfish","March","dry","self"
"179",5,NA,"Sambour","male","pufferfish","March","dry","others"
"184",1,NA,"Kracheh","male","chopped_fish","March","dry","self"
"184",5,NA,"Kracheh","male","chopped_fish","March","dry","others"
"184",5,NA,"Kracheh","male","sliced_fish","March","dry","self"
"184",10,NA,"Kracheh","male","sliced_fish","March","dry","others"
"185",1.25,NA,"Sambour","female","chopped_fish","March","dry","self"
"185",2.5,NA,"Sambour","female","chopped_fish","March","dry","others"
"185",2,NA,"Sambour","female","sliced_fish","March","dry","self"
"185",10,NA,"Sambour","female","sliced_fish","March","dry","others"
"186",1,NA,"Sambour","female","chopped_fish","March","dry","self"
"186",5,NA,"Sambour","female","chopped_fish","March","dry","others"
"186",15,NA,"Sambour","female","pufferfish","March","dry","self"
"186",20,NA,"Sambour","female","pufferfish","March","dry","others"
"187",2,NA,"Sambour","male","chopped_fish","March","dry","self"
"187",4,NA,"Sambour","male","chopped_fish","March","dry","others"
"189",1.5,NA,"Sambour","male","chopped_fish","March","dry","self"
"189",5,NA,"Sambour","male","chopped_fish","March","dry","others"
"189",1.5,NA,"Sambour","male","sliced_fish","March","dry","self"
"189",5,NA,"Sambour","male","sliced_fish","March","dry","others"
"192",5,NA,"Sambour",NA,"chopped_fish","March","dry","others"
"193",8,NA,"Chhloung","female","chopped_fish","March","dry","self"
"193",15,NA,"Chhloung","female","chopped_fish","March","dry","others"
"194",2.5,NA,"Sambour","female","chopped_fish","March","dry","self"
"194",5,NA,"Sambour","female","chopped_fish","March","dry","others"
"194",10,NA,"Sambour","female","sliced_fish","March","dry","self"
"194",15,NA,"Sambour","female","sliced_fish","March","dry","others"
